a,b,c
0.1708229549483391,-0.0208499997293128,0.0175668666598862
-0.04894721846381145,0.01658733104564236,0.013085610908443235
-0.05584986663140856,0.015859938739625795,-0.01733093806851589
0.019852897026089944,-0.17837861623603699,-0.013992424697941264
-0.0627824832360403,-0.12020268930334611,0.008019717875044075
-0.04908591974572174,0.042173565565528454,0.0418546602330957
0.0899357818239418,0.21891283356726918,0.018619047580952452
-0.0017325008291938504,0.06879418166686778,-8.357192471247776e-06
0.04897339518674282,-0.08429161541467955,0.03140595415831324
-0.020810544163537226,-0.04946195501206996,0.04574233108445404
0.01501147839200967,0.2556520370622758,0.018198150580674866
0.056293854771220175,-0.00610342313466497,-0.04868047070618835
-0.015750384212564916,-0.041082702327943504,-0.051388017743526956
0.11470937186079233,-0.028119821520661115,-0.0009431674641959542
0.017421835952275977,-0.16054460932821707,0.057660379536919874
0.07286063671264331,-0.09473042004070452,-0.008288076540137496
-0.007996610302143159,-0.0062544636304109336,0.0029247480072848026
-0.05619340986605048,0.03718682969117465,-0.02684141077578102
-0.07711547244509198,0.0730447509180306,0.09663720499572152
-0.015984815395551966,0.05316849129183729,0.002368109964452997
-0.047857666764426265,0.09405346504365766,-6.029686822939251e-05
0.021315148933793382,-0.09921692207261958,0.007192148899829387
-0.028541673341020868,0.01994499649559614,0.024917902101930123
0.060115960986212635,-0.02810877354509815,0.00858942939016906
-0.05766666282630539,-0.006597126841048462,0.014156397781347294
0.016999319019013415,-0.055282885412941726,0.008098638253635382
-0.08737008729387696,-0.1635749794349599,-0.021784961008775097
-0.04274709511673058,-0.05335687970043207,0.02131610014676802
0.007009323292460845,0.02826977364348271,-0.002462616131188422
0.10239273939122462,-0.014678760660633283,-0.03939722384340137
-0.050966373667094444,0.014997751226358547,0.00038356511484345657
0.013585033244868372,0.01593500334265524,0.02573165904566685
-0.040958998672946056,-0.12846823461537488,-0.06855279055221836
0.06679599452637719,-0.2136381385611598,-0.039655993401027545
-0.10034165216623225,-0.0044334689579793585,0.03772227692903975
-0.038849538204832834,-0.11905389625841276,-0.019646886162728944
0.036899178676928046,0.060258325434510485,0.0007584846474503609
-0.038318830689523686,-0.05643053016304142,0.03896462299941782
-0.052297813589852304,0.1737397670141851,0.043539983750260705
0.0380816504208088,-0.01631616688447346,-0.0571627882739458
-0.03428434667564817,0.0310919903460109,-0.043868718531519316
0.03222703583718167,0.011610575568043707,-0.02171654260015804
-0.10518147298034553,0.02256205316110141,0.0002926576961814198
0.013459666869858444,0.09875581086749509,-0.026607223330625027
-0.009484395221268205,0.015167100300425118,-0.027871772289985816
-0.02280808459841477,0.0055881834908031724,-0.012590867183737753
-0.13270012955133503,-0.02193351367896973,0.08253905853142995
0.049566721537327996,-0.10082430304638629,0.0037562403879471407
0.021381423286626178,-0.06442849549235313,0.009000100037219683
-0.001948643022465446,-0.0008704605539340826,0.016299042051133597
0.040501521927658324,-0.0059388469119765475,-0.0015565422030353881
9.158724920732553e-05,0.02952930247596336,0.011699083222046727
0.011624854806711826,0.03365674626944276,-0.02948120288280054
0.061974795452300224,-0.13448409257186064,0.0022555345516934444
-0.14377384023939566,0.27449130376769826,0.0347044408958081
0.019269695853115776,0.04253007056045874,-0.03989429338781035
-0.05076122152135443,0.005820445821564657,0.02005125702946696
0.02349824048687066,-0.067864127417184,-0.0032191790199599946
0.04621128293560073,0.015413575062387358,-0.0623935844096106
0.07530316347999333,-0.11578078178932916,-0.009631409210346095
-0.010559725470301484,-0.41312515289349017,0.0057377824311108105
0.05141500295735524,-0.06330108265666429,0.011382261617763928
-0.06882353978162492,0.042275045505418274,0.051189540708312664
0.018943986056448203,-0.0361627883610309,-0.005820363714168469
0.006340587298586109,0.03365219976342365,0.03433013528285257
0.016085742945195713,0.017107831652682592,0.02185461981687975
-0.005513225486581508,-0.04634758468417907,0.012225331282722712
-0.047641641356457654,0.04489282091767591,0.062441404740469886
-0.015698649239402673,0.01038908333850086,0.015360559848759683
-0.0315431342099618,0.0689855620079352,0.00670418388170782
0.012022594343244153,-0.0861677353793755,-0.012703936055482548
-0.12168393068838157,-0.19042315683805078,-0.060599101975537556
0.0207620442011498,-0.006177887746876609,-0.009849428129716495
-0.005635902222982714,-0.01602448474984211,0.011860995334020616
-0.006578551233580976,0.040833705755063135,-0.023189281707229822
-0.0026132051882818974,-0.02921715948051279,0.022107165329109654
0.015255477449210186,-0.003465623484995267,-0.016891418035268585
0.053667275926492675,-0.007022548024855441,-0.04110689412677104
-0.05629837409078753,-0.09433490297356126,-0.001630968932791993
0.01960520258829268,0.013766316872981188,-0.012133063040296335
-0.1192474249278731,-0.11747541795409662,-0.11189549416964188
0.02163950088797295,-0.0203584264583353,-0.02384028040679509
